elbo_train,elbo_validation
547.9404296875,547.4842529296875
547.905029296875,547.4865112304688
547.8696899414062,547.369873046875
547.8672485351562,547.3532104492188
547.8460083007812,547.40234375
547.8056640625,547.3584594726562
547.7881469726562,547.3380737304688
547.7904052734375,547.3270874023438
547.7518920898438,547.2850341796875
547.7321166992188,547.2131958007812
547.7076416015625,547.2429809570312
547.6945190429688,547.2972412109375
547.6691284179688,547.1732788085938
547.6399536132812,547.173583984375
547.6136474609375,547.1737060546875
547.5929565429688,547.1834716796875
547.5595092773438,547.1219482421875
547.5424194335938,547.1190795898438
547.5419311523438,547.1456909179688
547.4967041015625,547.1224975585938
547.4880981445312,547.1079711914062
547.4781494140625,547.0889282226562
547.4542846679688,547.0838012695312
547.4281616210938,547.0680541992188
547.4082641601562,547.0369262695312
547.3802490234375,547.021728515625
547.3771362304688,547.0198974609375
547.3568725585938,546.9968872070312
547.344482421875,546.9912109375
547.3196411132812,547.03076171875
547.30322265625,546.9275512695312
547.2706298828125,546.9383544921875
547.271240234375,546.9005737304688
547.2471313476562,546.9699096679688
547.2210693359375,546.8662719726562
547.199951171875,546.87451171875
547.1815795898438,546.910888671875
547.1805419921875,546.8085327148438
547.1556396484375,546.7916259765625
547.1430053710938,546.7813720703125
547.1194458007812,546.8089599609375
547.08935546875,546.7596435546875
547.0904541015625,546.740478515625
547.073974609375,546.7899169921875
547.0463256835938,546.790283203125
547.0482788085938,546.7424926757812
547.0216064453125,546.7156372070312
546.9852294921875,546.7566528320312
546.994140625,546.7059936523438
546.96630859375,546.7102661132812
546.952880859375,546.6485595703125
546.937255859375,546.6434936523438
546.9366455078125,546.6797485351562
546.906494140625,546.6782836914062
546.8982543945312,546.6140747070312
546.879638671875,546.6336669921875
546.8601684570312,546.6235961914062
546.8490600585938,546.5863037109375
546.8377685546875,546.596923828125
546.8216552734375,546.6079711914062
546.8132934570312,546.5421752929688
546.7869262695312,546.5584106445312
546.772216796875,546.5560302734375
546.777099609375,546.592041015625
546.7535400390625,546.5429077148438
546.7215576171875,546.4982299804688
546.7130126953125,546.495849609375
546.7030639648438,546.525146484375
546.7025756835938,546.4520874023438
546.7063598632812,546.4886474609375
546.6577758789062,546.455810546875
546.6513671875,546.4417724609375
546.6472778320312,546.4114990234375
546.614501953125,546.4761352539062
546.6211547851562,546.3988647460938
546.6055908203125,546.4241943359375
546.598876953125,546.3836669921875
546.5676879882812,546.3522338867188
546.5776977539062,546.3479614257812
546.5543212890625,546.3519287109375
546.5262451171875,546.3660278320312
546.5286865234375,546.290771484375
546.5228271484375,546.3629150390625
546.5145263671875,546.2969970703125
546.5103759765625,546.3203735351562
546.4898681640625,546.34765625
546.4682006835938,546.267333984375
546.4657592773438,546.3744506835938
546.4373779296875,546.2886352539062
546.4346923828125,546.2509155273438
546.4247436523438,546.23291015625
546.4149169921875,546.2694702148438
546.39111328125,546.2728271484375
546.3706665039062,546.2696533203125
546.3604736328125,546.2301635742188
546.3786010742188,546.228515625
546.3515625,546.2077026367188
546.3505249023438,546.2048950195312
546.3411865234375,546.1693115234375
546.3046875,546.2346801757812
546.3201904296875,546.190673828125
546.3092651367188,546.154296875
546.2743530273438,546.1849365234375
546.2845458984375,546.1692504882812
546.28076171875,546.1329345703125
546.2522583007812,546.1388549804688
546.2373657226562,546.1445922851562
546.2418212890625,546.1219482421875
546.2433471679688,546.1687622070312
546.2277221679688,546.109375
546.2037963867188,546.0825805664062
546.1986083984375,546.083251953125
546.1983642578125,546.08154296875
546.1749877929688,546.1098022460938
546.1751098632812,546.0606689453125
546.156982421875,546.0972900390625
546.1686401367188,546.073974609375
546.1529541015625,546.0339965820312
546.1331787109375,546.1505126953125
546.1129760742188,546.0164794921875
546.1054077148438,546.0633544921875
546.1063232421875,545.9884643554688
546.0894165039062,546.06640625
546.0767211914062,545.9708251953125
546.0712280273438,545.9514770507812
546.06005859375,546.007568359375
546.055908203125,546.0274658203125
546.0462036132812,546.0349731445312
546.0304565429688,545.9471435546875
546.0413818359375,545.9534301757812
546.0281982421875,546.0230712890625
546.0022583007812,545.9740600585938
546.0053100585938,545.9376220703125
545.9912719726562,546.008056640625
545.9827880859375,545.956787109375
545.9932250976562,545.9236450195312
545.9886474609375,546.0432739257812
545.9559936523438,545.9059448242188
545.9655151367188,545.9151000976562
545.9459838867188,545.8936767578125
545.9258422851562,545.8707885742188
545.9232177734375,545.9381713867188
545.9218139648438,545.9322509765625
545.9138793945312,545.873046875
545.9003295898438,545.8974609375
545.9042358398438,545.822021484375
545.8858032226562,545.8564453125
545.8621215820312,545.8653564453125
545.8899536132812,545.8619384765625
545.8710327148438,545.8327026367188
545.8572387695312,545.836669921875
545.8631591796875,545.8156127929688
545.849853515625,545.8231201171875
545.8320922851562,545.8604736328125
545.8289184570312,545.8654174804688
545.8153686523438,545.775634765625
545.8132934570312,545.818359375
545.8197021484375,545.773681640625
545.7930908203125,545.8048706054688
545.7896728515625,545.7567749023438
545.7968139648438,545.7838134765625
545.7701416015625,545.8247680664062
545.752685546875,545.7841796875
545.7589111328125,545.7388916015625
545.7538452148438,545.7665405273438
545.7380981445312,545.7413940429688
545.7503051757812,545.7029418945312
545.738037109375,545.739013671875
545.7061767578125,545.7202758789062
545.7214965820312,545.7073364257812
545.7002563476562,545.7738647460938
545.6895141601562,545.6707763671875
545.6830444335938,545.7293701171875
545.7020874023438,545.7444458007812
545.680908203125,545.7162475585938
545.6735229492188,545.7396850585938
545.6715087890625,545.6508178710938
545.65185546875,545.7366333007812
545.6453857421875,545.708251953125
545.64599609375,545.6614379882812
545.6414794921875,545.6377563476562
545.6336059570312,545.6359252929688
545.626220703125,545.6325073242188
545.6188354492188,545.6948852539062
545.62060546875,545.6430053710938
545.579833984375,545.6240234375
545.6070556640625,545.66357421875
545.5827026367188,545.6317138671875
545.580078125,545.6181030273438
545.5938110351562,545.6113891601562
545.576904296875,545.656005859375
545.5574951171875,545.6090087890625
545.564208984375,545.6019287109375
545.5516357421875,545.579833984375
545.5564575195312,545.6199951171875
545.5348510742188,545.6144409179688
545.5336303710938,545.5179443359375
545.5310668945312,545.5582885742188
545.5120849609375,545.5618896484375
545.5098876953125,545.5523071289062
545.5083618164062,545.6129760742188
545.5140380859375,545.6033325195312
545.5123291015625,545.5013427734375
545.4998779296875,545.5659790039062
545.4898071289062,545.586669921875
545.4644775390625,545.5407104492188
545.4662475585938,545.52197265625
545.4486694335938,545.5406494140625
545.4603271484375,545.5286865234375
545.4431762695312,545.5613403320312
545.4458618164062,545.5478515625
545.431396484375,545.5081787109375
545.4262084960938,545.4791870117188
545.42822265625,545.5116577148438
545.4392700195312,545.4862670898438
545.4202880859375,545.4947509765625
545.4127807617188,545.5308837890625
545.3961791992188,545.4600219726562
545.3963623046875,545.427001953125
545.3973388671875,545.4317016601562
545.37646484375,545.5150146484375
545.3823852539062,545.4717407226562
545.3821411132812,545.50439453125
545.3582153320312,545.4944458007812
545.35693359375,545.4781494140625
545.3633422851562,545.4530639648438
545.3488159179688,545.4273071289062
545.3380737304688,545.5257568359375
545.3248901367188,545.4876098632812
545.34130859375,545.4266357421875
545.3317260742188,545.4474487304688
545.3297119140625,545.4371337890625
545.330078125,545.4285888671875
545.3101196289062,545.4266967773438
545.3175048828125,545.3991088867188
545.3074951171875,545.3882446289062
545.2952270507812,545.380859375
545.2869873046875,545.3934326171875
545.2838134765625,545.3824462890625
545.2870483398438,545.4010009765625
545.271728515625,545.3666381835938
545.252197265625,545.3328247070312
545.279052734375,545.3855590820312
545.2709350585938,545.3829956054688
545.2640991210938,545.3963623046875
545.2489013671875,545.3763427734375
545.2298583984375,545.3469848632812
545.238525390625,545.3326416015625
545.228271484375,545.353759765625
545.2388305664062,545.3843994140625
545.225830078125,545.3232421875
545.2116088867188,545.3221435546875
545.2242431640625,545.340576171875
545.1905517578125,545.3367919921875
545.2015991210938,545.3316650390625
545.207275390625,545.3446044921875
545.190673828125,545.2994384765625
545.1865234375,545.3263549804688
545.1809692382812,545.3259887695312
545.1558837890625,545.3307495117188
545.1815185546875,545.2843017578125
545.1544189453125,545.2971801757812
545.1527709960938,545.27099609375
545.1524047851562,545.3071899414062
545.15283203125,545.311767578125
545.1368408203125,545.333984375
545.1384887695312,545.283203125
545.1309204101562,545.2538452148438
545.11669921875,545.2635498046875
545.1268920898438,545.2794799804688
545.1123046875,545.3330688476562
545.1165771484375,545.2324829101562
545.1251220703125,545.2398071289062
545.1143798828125,545.258544921875
545.1006469726562,545.3070678710938
545.0942993164062,545.2473754882812
545.1018676757812,545.2572631835938
545.08154296875,545.2816772460938
545.09423828125,545.1944580078125
545.0897827148438,545.2547607421875
545.0808715820312,545.2471313476562
545.0771484375,545.2418823242188
545.0509033203125,545.2077026367188
545.0445556640625,545.2571411132812
545.0607299804688,545.2703247070312
545.03662109375,545.1607666015625
545.0751953125,545.2134399414062
545.0432739257812,545.225341796875
545.0419921875,545.2182006835938
545.0304565429688,545.1962890625
545.0439453125,545.26416015625
545.0225830078125,545.2003784179688
545.021240234375,545.201416015625
545.0188598632812,545.19287109375
544.9857177734375,545.2169189453125
544.9981689453125,545.1574096679688
545.0034790039062,545.19384765625
544.9766845703125,545.1871948242188
544.9763793945312,545.1757202148438
544.984130859375,545.1443481445312
544.9789428710938,545.1939697265625
545.0018310546875,545.1347045898438
544.9791259765625,545.1470947265625
544.9671020507812,545.1651000976562
544.969970703125,545.1328125
544.9619750976562,545.1157836914062
544.9700317382812,545.1710815429688
544.9527587890625,545.122314453125
544.9566650390625,545.1856689453125
544.9423828125,545.1663818359375
544.9449462890625,545.1073608398438
544.9362182617188,545.1870727539062
544.9496459960938,545.1224365234375
544.9252319335938,545.1671752929688
544.9313354492188,545.109619140625
544.9332885742188,545.1324462890625
544.919921875,545.0885620117188
544.9186401367188,545.1241455078125
544.90283203125,545.177001953125
544.9119873046875,545.081787109375
544.9022216796875,545.117431640625
544.891845703125,545.1149291992188
544.8845825195312,545.0739135742188
544.8851318359375,545.0564575195312
544.9022827148438,545.098388671875
544.8859252929688,545.0844116210938
544.8828735351562,545.0643310546875
544.8549194335938,545.043212890625
544.8584594726562,545.074462890625
544.8612060546875,545.0889892578125
544.87353515625,545.0292358398438
544.865478515625,545.1155395507812
544.85986328125,545.1510620117188
544.859130859375,545.1312866210938
544.8403930664062,545.0370483398438
544.8473510742188,545.0304565429688
